국가,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
일본,90.88,89.605,85.4,95.02,87.785,78.915,86.66,87.58,86.66,87.15,83.475
중국,92.315,98.795,95.725,90.85,90.695,86.485,94.885,95.3,94.885,94.295,95.195
홍콩,91.295,96.925,91.58,92.935,86.53,74.975,90.475,93.76,90.475,91.015,86.775
싱가포르,93.425,95.74,93.18,96.06,83.78,71.73,92.21,94.365,92.21,94.38,92.125
대만,93.755,97.475,96.86,93.665,88.555,84.285,96.42,96.38,96.42,95.915,93.88
태국,89.99,96.89,91.8,92.165,85.14,72.69,97.995,97.325,97.995,96.835,91.075
말레이시아,93.13,96.295,94.155,91.04,78.46,66.16,96.625,94.67,96.625,95.14,91.545
호주,90.64,96.85,94.425,95.145,87.65,78.005,96.2,84.61,96.2,93.17,90.355
미국,89.12,98.59,97.24,97.565,92.485,86.53,97.67,85.17,97.67,96.14,94.08
캐나다,86.385,98.705,96.27,94.615,89.615,82.36,97.205,85.52,97.205,95.79,93.54
영국,91.21,97.675,94.005,93.345,88.54,81.615,95.785,81.735,95.785,93.82,90.925
독일,88.845,96.77,94.005,93.595,80.075,61.97,94.315,72.925,94.315,93.26,85.09
프랑스,86.8,98.765,93.095,95.135,84.605,67.92,96.89,83.635,96.89,92.345,87.505
러시아,89.585,98.8,96.795,93.11,82.64,78.705,96.45,93.44,96.45,96.39,92.81
중동,90.765,98.87,96.22,85.38,82.86,74.525,97.455,91.905,97.455,94.92,93.88
인도,94.28,98.805,98.065,79.36,77.64,57.9,96.54,87.565,96.54,94.28,91.3
전체,91.405,96.485,93.315,92.705,87.58,79.71,93.83,91.635,93.83,93.195,91.12
기타,87.175,97.91,94.04,93.295,82.15,64.735,96.805,82.21,96.805,94.135,88.575
필리핀,97.79,98.335,97.315,96.82,85.765,71.82,97.285,96.78,97.285,98.515,96.1
인도네시아,85.65,95.37,90.755,86.465,71.225,58.23,95.555,95.03,95.555,97.235,90.05
베트남,95.795,97.725,93.55,86.225,78.945,71.84,95.095,92.895,95.095,90.855,88.11
