국가,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
일본,88.675,86.495,84.925,93.38,86.265,79.105,87.725,92.265,87.725,88.115,80.85
중국,90.055,98.365,96.765,88.925,89.39,82.28,95.435,94.88,95.435,93.315,94.1
홍콩,91.745,96.37,93.65,92.315,88.715,70.9,91.285,93.17,91.285,89.88,86.26
싱가포르,95.62,95.48,93.985,94.65,84.46,66.975,93.38,96.245,93.38,93.94,88.005
대만,92.6,95.98,96.81,92.51,87.405,78.705,94.59,95.89,94.59,94.115,89.8
태국,91.4,96.92,88.68,92.685,88.145,72.33,96.615,96.67,96.615,95.885,90.52
말레이시아,93.07,96.645,92.92,88.55,83.19,64.05,93.305,93.715,93.305,95.7,87.295
호주,92.275,97.615,95.935,96.73,88.165,80.685,96.775,96.22,96.775,95.03,90.75
미국,91.51,98.62,96.73,96.775,90.785,80.52,96.695,95.565,96.695,95.665,90.32
캐나다,88.35,98.535,95.015,95.495,88.99,78.99,95.715,94.995,95.715,96.19,91.04
영국,87.2,98.86,93.115,92.535,87.64,78.2,93.895,94.05,93.895,92.205,89.16
독일,88.14,93.225,95.34,93.41,81.66,58.54,96.005,89.97,96.005,90.305,84.905
프랑스,81.13,97.57,96.785,94.485,89.74,67.49,96.02,93.8,96.02,95.97,90.205
러시아,93.185,98.44,97.3,96.925,87.5,82.4,97.89,97.45,97.89,98.09,95.83
중동,0,0,0,0,0,0,0,0,0,0,0
인도,95.52,97.93,97.905,81.405,80.89,53.88,96.815,91.095,96.815,93.58,87.905
전체,90.73,95.58,93.725,91.465,87.7,77.56,93.925,94.43,93.925,92.77,89.52
기타,89.825,98.015,94.145,89.955,84.935,63.71,96.855,91.715,96.855,93.815,88.37
필리핀,97.52,98.57,97.245,96.82,89.67,71.325,97.84,97.415,97.84,97.86,93.615
인도네시아,96.595,96.2,94.24,89.23,85.08,63.555,94.24,94.495,94.24,95.45,86.8
베트남,94.73,98.475,97.915,90.61,81.96,71.175,97.19,95.63,97.19,89.595,88.11
몽골,94.505,97.975,93.285,95.965,87.47,79.17,97.835,96.29,97.835,98.12,91.72
중동전체,90.67,98.505,94.975,85.05,83.92,71.04,95.65,96.135,95.65,95.34,91.825
중앙아시아,88.69,98.97,95.61,89.645,86.375,78.97,98.245,97.58,98.245,95.595,92.895
GCC,92.935,97.615,89.985,72.18,79.93,56.875,90.4,92.36,90.4,93.36,89.99
중동기타,94.875,97.79,96.625,80.615,78.705,57.675,91.745,94.28,91.745,96.04,90.32
