date,nation,visitor,growth,share,male,female,crewman
2019-1,China,392814,28.737869805032012,35.55511706611948,147511,231722,13581
2019-1,Japan,206526,23.606830138314482,18.693468428308034,75070,129029,2427
2019-1,Taiwan,87954,16.003692957003434,7.961057310669865,30805,56202,947
2019-1,Hong Kong,35896,3.5332121946295203,3.249086036153052,12172,22729,995
2019-1,Macao,2570,-12.376406409819296,0.23262065725744768,748,1787,35
2019-1,Phillipines,30473,0.062389177119581696,2.758229295177511,10460,7295,12718
2019-1,Indonesia,18842,10.614065985675714,1.7054624218073269,7295,8289,3258
2019-1,Thailand,41334,-8.026078636434441,3.7413004852448806,12205,23730,5399
2019-1,Vietnam,20183,23.936137549892543,1.8268415274035281,7457,7559,5167
2019-1,India,8671,16.844091092844636,0.7848458050892331,5123,907,2641
2019-1,Malaysia,22065,-0.2170668837335521,1.9971886390605382,8240,11276,2549
2019-1,Singapore,9855,1.9764072847682224,0.8920142324016137,4175,4450,1230
2019-1,Mongolia,9785,-9.339386639488556,0.8856782611922669,4624,5114,47
2019-1,Uzbekistan,5754,5.947339348186342,0.520816833408309,3863,1426,465
2019-1,Myanmar,5289,-11.673346693386776,0.47872788180336223,2290,250,2749
2019-1,*GCC,1776,-1.6066481994459814,0.16075264096857086,1132,612,32
2019-1,Kazakhstan,3574,-9.335362760020294,0.323496587174365,1521,1748,305
2019-1,Turkey,1785,-7.704239917269906,0.16156726583834402,681,234,870
2019-1,Cambodia,2695,10.859728506787336,0.24393489155985276,1666,730,299
2019-1,Sri Lanka,1287,-14.200000000000001,0.11649135637756232,1036,90,161
2019-1,Bangladesh,1247,1.2997562956945652,0.11287080140079271,897,57,293
2019-1,Pakistan,1032,-10.726643598615915,0.09341031840065604,857,142,33
2019-1,Israel,805,-0.49443757725586845,0.0728636689074885,591,199,15
2019-1,Iran,184,-66.7870036101083,0.016654552893140225,122,47,15
2019-1,Asia others,4554,16.679477325134506,0.4122001841052205,2990,1028,536
2019-1,USA,62737,4.744970364805079,5.678568939439882,32907,24623,5207
2019-1,Canada,12460,0.3462994282032783,1.1278028752637348,5783,5418,1259
2019-1,Brazil,1605,14.072494669509595,0.14527476844288076,727,592,286
2019-1,Mexico,1853,32.07412687099074,0.16772220929885237,784,611,458
2019-1,America others,2266,10.861056751467713,0.20510443943399867,933,936,397
2019-1,Russia,25194,14.862770128567515,2.2804065521183414,10572,9487,5135
2019-1,UK,10148,7.968932865198419,0.9185347976064511,5903,3490,755
2019-1,Germany,6850,-6.522925764192145,0.6200200397717964,4487,1454,909
2019-1,France,5574,-5.381089797996941,0.5045243360128457,3390,1591,593
2019-1,Italy,2731,-1.0865628395508864,0.2471933910389454,1750,502,479
2019-1,Netherland,2269,-2.576212966938596,0.20537598105725635,1335,489,445
2019-1,Ukraine,2262,38.858195211786374,0.2047423839363217,594,244,1424
2019-1,Spain,1368,-16.176470588235293,0.12382298020552081,841,373,154
2019-1,Romania,872,19.12568306010929,0.07892809849357758,315,129,428
2019-1,Norway,801,-19.335347432024175,0.07250161340981152,511,177,113
2019-1,Sweden,982,4.24628450106157,0.08888462467969403,664,280,38
2019-1,Poland,1324,-11.968085106382976,0.11984036973107423,559,242,523
2019-1,Swiss,747,-29.3282876064333,0.06761386419117255,493,207,47
2019-1,Portugal,564,-4.729729729729726,0.05104982517245155,256,211,97
2019-1,Austria,776,-2.3899371069182385,0.07023876654933052,480,169,127
2019-1,Finland,859,-13.841524573721165,0.07775141812612746,314,155,390
2019-1,Belgium,709,-6.092715231788082,0.06417433696324142,460,145,104
2019-1,Croatia,491,-0.40567951318458695,0.044442312339847016,224,29,238
2019-1,Greece,775,8.848314606741582,0.07014825267491127,475,44,256
2019-1,Bulgaria,431,17.759562841530062,0.03901147987469259,140,39,252
2019-1,Denmark,751,7.439198855507878,0.0679759196888495,478,153,120
2019-1,Ireland,595,0.5067567567567544,0.053855755279448005,379,163,53
2019-1,Europe others,2965,23.23358270989193,0.26837363765304767,1282,827,856
2019-1,Austrailia,14285,22.219370294318953,1.2929906960788484,7126,6863,296
2019-1,New Zealand,2725,2.4821361414065546,0.24665030779242994,1376,1188,161
2019-1,Oceania others,614,11.231884057971019,0.055575518893413584,356,216,42
2019-1,South Africa,1000,10.741971207087486,0.09051387441924036,390,453,157
2019-1,Africa others,2690,19.82182628062361,0.24348232218775653,1596,413,681
2019-1,Stateless,54,-18.181818181818176,0.004887749218638979,32,9,13
2019-1,Overseas Korean,15526,-19.118566367993328,1.4053184142331259,6475,9051,0
2019-2,China,453379,31.284440596396035,37.72493305885662,191410,251668,10301
2019-2,Japan,213200,26.722974780225982,17.74002705936585,70961,139997,2242
2019-2,Taiwan,94559,7.360688496298651,7.868101401062738,34304,59456,799
2019-2,Hong Kong,51312,1.4271595176912344,4.269588501267264,20802,29584,926
2019-2,Macao,3966,-17.95614398014067,0.33000444332760304,1478,2451,37
2019-2,Phillipines,29294,8.444082478806504,2.4375063446391336,9935,7822,11537
2019-2,Indonesia,18115,22.90521745030192,1.5073198413715403,7122,7306,3687
2019-2,Thailand,39220,-9.689601178962882,3.2634327451610163,12303,22029,4888
2019-2,Vietnam,42181,72.11114738044719,3.5098127644986445,20381,17114,4686
2019-2,India,8309,17.143662766107436,0.6913784466992067,5147,987,2175
2019-2,Malaysia,27484,21.99387456167605,2.2868991730750987,11044,14156,2284
2019-2,Singapore,9792,7.6872319366545705,0.8147764773232197,4192,4527,1073
2019-2,Mongolia,9176,3.0895405010672894,0.7635201139622001,4669,4465,42
2019-2,Uzbekistan,7149,28.00358102059086,0.5948567234868971,5008,1698,443
2019-2,Myanmar,5367,1.1687087653157402,0.4465793866210907,2586,395,2386
2019-2,*GCC,1478,16.103692065985854,0.12298198871361506,994,452,32
2019-2,Kazakhstan,3774,-19.479411137187963,0.3140284339683242,1646,1848,280
2019-2,Turkey,1765,-6.909282700421937,0.1468627943704537,604,299,862
2019-2,Cambodia,3715,43.88071262587141,0.3091191394256292,2261,1182,272
2019-2,Sri Lanka,1516,31.483087597571547,0.126143907232639,1240,121,155
2019-2,Bangladesh,1656,33.33333333333333,0.1377930807237798,1198,163,295
2019-2,Pakistan,1439,10.60722521137587,0.11973686181251154,1217,197,25
2019-2,Israel,761,6.732117812061711,0.06332157876255823,542,213,6
2019-2,Iran,329,-39.853747714808044,0.02737555770418089,191,90,48
2019-2,Asia others,5150,12.988152698552003,0.4285231677098224,3443,1229,478
2019-2,USA,57732,-12.592166421898899,4.803786314218149,29846,23407,4479
2019-2,Canada,13551,-17.562963864217064,1.12755678556035,6405,6008,1138
2019-2,Brazil,1354,-12.757731958762886,0.11266414933574749,647,463,244
2019-2,Mexico,1435,2.4268379728765277,0.11940402828419323,590,473,372
2019-2,America others,2308,-2.120441051738764,0.1920449458396641,964,1003,341
2019-2,Russia,20001,-4.2510412178658585,1.6642508499736228,8297,7364,4340
2019-2,UK,7876,-23.785562221792144,0.6553492172587497,4640,2596,640
2019-2,Germany,6866,-28.30740315338832,0.5713087513583769,4394,1708,764
2019-2,France,5830,-19.88456781640786,0.4851048675239349,3329,1940,561
2019-2,Italy,2384,-25.5,0.19836878287771198,1487,487,410
2019-2,Netherland,2357,-39.78027593254983,0.19612215656156337,1297,584,476
2019-2,Ukraine,2080,4.8387096774193505,0.1730734347255205,650,264,1166
2019-2,Spain,1373,-9.193121693121697,0.11424510859525945,792,447,134
2019-2,Romania,771,20.28081123244929,0.064153662583354,265,116,390
2019-2,Norway,577,-67.29024943310658,0.04801123645991603,407,154,16
