국가,2015,2016,2017,2018,2019
일본,90.935,91.83,90.88,84.365,88.675
중국,91.065,89.845,92.315,92.355,90.055
홍콩,91.73,90.725,91.295,91.705,91.745
싱가포르,96.28,95.44,93.425,92.83,95.62
대만,90.435,88.03,93.755,91.165,92.6
태국,90.51,89.735,89.99,91.15,91.4
말레이시아,94.16,93.62,93.13,93.58,93.07
호주,92.21,86.905,90.64,91.595,92.275
미국,90.435,91.385,89.12,91.26,91.51
캐나다,87.7,86.68,86.385,89.565,88.35
영국,91.835,91.17,91.21,92.565,87.2
독일,90.99,90.655,88.845,89.565,88.14
프랑스,89.825,88.195,86.8,85.77,81.13
러시아,89.515,88.925,89.585,91.41,93.185
중동,95.55,93.875,90.765,90.61,0
인도,95.035,95.455,94.28,96.28,95.52
전체,91.355,90.49,91.405,90.455,90.73
기타,93.515,92.23,87.175,88.73,89.825
필리핀,0,0,97.79,97.14,97.52
인도네시아,0,0,85.65,94.56,96.595
베트남,0,0,95.795,94.92,94.73
몽골,0,0,0,94.145,94.505
중동전체,0,0,0,0,90.67
중앙아시아,0,0,0,0,88.69
GCC,0,0,0,0,92.935
중동기타,0,0,0,0,94.875
