,,불만족(1+2),,보통(3),,만족(4+5)
구분1,구분2,2018,2019,2018,2019,2018,2019
"국가별","일본","8.58","7.35","35.17","28.83","56.25","63.82"
"국가별","중국","1.78","2.08","14.06","17.49","84.16","80.43"
"국가별","홍콩","3.97","5.62","23.17","22.78","72.86","71.61"
"국가별","싱가포르","4.57","9.67","26.25","25.51","69.18","64.82"
"국가별","대만","1.72","3.33","13.83","17.08","84.45","79.59"
"국가별","태국","2.04","3.00","16.98","16.44","80.98","80.56"
"국가별","말레이시아","4.99","6.47","20.44","23.64","74.57","69.89"
"국가별","호주","3.62","6.88","22.28","17.31","74.10","75.80"
"국가별","미국","4.09","5.33","19.00","18.88","76.90","75.79"
"국가별","캐나다","4.36","6.61","15.08","18.13","80.56","75.26"
"국가별","영국","2.94","5.39","17.85","21.63","79.21","72.98"
"국가별","독일","6.91","8.96","31.95","28.16","61.14","62.89"
"국가별","프랑스","6.40","6.97","19.24","21.96","74.36","71.07"
"국가별","러시아","2.55","1.27","8.57","9.51","88.88","89.22"
"국가별","중동","3.78","0.00","13.58","0.00","82.63","0.00"
"국가별","인도","4.26","7.26","18.60","17.78","77.14","74.96"
"국가별","필리핀","2.79","2.75","14.84","14.88","82.37","82.37"
"국가별","인도네시아","4.59","6.12","10.92","18.13","84.49","75.75"
"국가별","베트남","3.70","6.00","19.36","21.99","76.93","72.01"
"국가별","몽골","1.56","0.60","4.79","6.89","93.65","92.50"
"국가별","전체","4.15","4.42","19.83","20.33","76.03","75.25"
"국가별","기타","9.02","7.02","15.86","22.26","75.12","70.72"
"국가별","중동전체","0.00","5.43","0.00","11.85","0.00","82.72"
"국가별","중앙아시아","0.00","3.88","0.00","6.34","0.00","89.78"
"국가별","GCC","0.00","10.97","0.00","20.82","0.00","68.21"
"국가별","중동기타","0.00","6.19","0.00","21.93","0.00","71.89"
