국가,2015,2016,2017,2018,2019
일본,67.935,66.48,83.475,82.09,80.85
중국,93.54,94.415,95.195,94.375,94.1
홍콩,86.715,86.08,86.775,87.785,86.26
싱가포르,84.56,87.225,92.125,88.43,88.005
대만,93.48,93.61,93.88,93.12,89.8
태국,90.31,92.125,91.075,88.025,90.52
말레이시아,90.245,93.265,91.545,89.97,87.295
호주,76.195,74.58,90.355,87.225,90.75
미국,85.04,81.05,94.08,89.245,90.32
캐나다,80.045,80.785,93.54,90.22,91.04
영국,75.44,71.97,90.925,86.52,89.16
독일,69.3,69.98,85.09,81.685,84.905
프랑스,72.92,73.52,87.505,88.255,90.205
러시아,91.115,89.6,92.81,91.19,95.83
중동,87.585,91.07,93.88,89.54,0
인도,81.975,76.095,91.3,87.395,87.905
전체,86.625,87.04,91.12,89.92,89.52
기타,83.93,81.02,88.575,86.57,88.37
필리핀,0,0,96.1,93.27,93.615
인도네시아,0,0,90.05,89.115,86.8
베트남,0,0,88.11,91.435,88.11
몽골,0,0,0,89.99,91.72
중동전체,0,0,0,0,91.825
중앙아시아,0,0,0,0,92.895
GCC,0,0,0,0,89.99
중동기타,0,0,0,0,90.32
