국가,2015,2016,2017,2018,2019
일본,76.315,78.62,87.15,87.13,88.115
중국,93.7,93.94,94.295,93.675,93.315
홍콩,90.365,91.215,91.015,89.885,89.88
싱가포르,90.33,93.785,94.38,92.985,93.94
대만,95.17,96.01,95.915,94.245,94.115
태국,95.155,96.945,96.835,90.265,95.885
말레이시아,96.375,95.775,95.14,95.57,95.7
호주,88.115,85.165,93.17,94.425,95.03
미국,92.34,92.795,96.14,96.08,95.665
캐나다,89.475,91.71,95.79,95.105,96.19
영국,87.75,87.795,93.82,92.715,92.205
독일,77.895,82.09,93.26,90.02,90.305
프랑스,84.98,83.735,92.345,93.15,95.97
러시아,97.33,94.385,96.39,95.66,98.09
중동,94.245,96.335,94.92,94.455,0
인도,87.735,83.135,94.28,93.405,93.58
전체,90.3,91.015,93.195,92.425,92.77
기타,90.82,88.59,94.135,92.52,93.815
필리핀,0,0,98.515,97.32,97.86
인도네시아,0,0,97.235,93.685,95.45
베트남,0,0,90.855,92.815,89.595
몽골,0,0,0,96.13,98.12
중동전체,0,0,0,0,95.34
중앙아시아,0,0,0,0,95.595
GCC,0,0,0,0,93.36
중동기타,0,0,0,0,96.04
