국가,2015,2016,2017,2018,2019
일본,79.67,83.05,87.58,90.655,92.265
중국,96.865,97,95.3,96.64,94.88
홍콩,94.225,96.04,93.76,93.96,93.17
싱가포르,89.44,90.69,94.365,95.79,96.245
대만,96.61,96.965,96.38,96.18,95.89
태국,95.61,97.655,97.325,94.845,96.67
말레이시아,93.33,95.68,94.67,93.3,93.715
호주,79.61,73.575,84.61,93.17,96.22
미국,85.62,79.805,85.17,93.915,95.565
캐나다,85.82,82.015,85.52,93.57,94.995
영국,81.79,67.31,81.735,92.71,94.05
독일,69.255,67.36,72.925,88.165,89.97
프랑스,80.29,75.875,83.635,93.64,93.8
러시아,93.47,90.605,93.44,97.325,97.45
중동,90.53,95.125,91.905,93.635,0
인도,84.785,77.875,87.565,91.665,91.095
전체,91.34,91.605,91.635,94.385,94.43
기타,86.775,81.545,82.21,91.365,91.715
필리핀,0,0,96.78,95.545,97.415
인도네시아,0,0,95.03,95,94.495
베트남,0,0,92.895,93.915,95.63
몽골,0,0,0,96.715,96.29
중동전체,0,0,0,0,96.135
중앙아시아,0,0,0,0,97.58
GCC,0,0,0,0,92.36
중동기타,0,0,0,0,94.28
