국가,2015,2016,2017,2018,2019
일본,78.705,79.61,86.66,85.805,87.725
중국,95.225,95.06,94.885,94.26,95.435
홍콩,90.965,90.085,90.475,91.49,91.285
싱가포르,95.43,95.265,92.21,92.61,93.38
대만,94.3,94.33,96.42,94.42,94.59
태국,96.175,96.95,97.995,93.225,96.615
말레이시아,95.4,96.46,96.625,93.44,93.305
호주,96.915,97.04,96.2,95,96.775
미국,96.505,97.41,97.67,96.075,96.695
캐나다,95.42,97.385,97.205,94.16,95.715
영국,95.425,96.935,95.785,95.705,93.895
독일,95.73,97.43,94.315,95.11,96.005
프랑스,95.895,94.825,96.89,96.21,96.02
러시아,97.16,96.9,96.45,95.945,97.89
중동,96.835,98.205,97.455,95.85,0
인도,96.85,97.61,96.54,96.55,96.815
전체,92.725,92.98,93.83,92.67,93.925
기타,96.58,96.19,96.805,93.82,96.855
필리핀,0,0,97.285,97.43,97.84
인도네시아,0,0,95.555,94.63,94.24
베트남,0,0,95.095,95.56,97.19
몽골,0,0,0,98.345,97.835
중동전체,0,0,0,0,95.65
중앙아시아,0,0,0,0,98.245
GCC,0,0,0,0,90.4
중동기타,0,0,0,0,91.745
