국가,2015,2016,2017,2018,2019
일본,73.61,76.015,78.915,74.185,79.105
중국,84.915,86.27,86.485,80.915,82.28
홍콩,72.82,74.215,74.975,70.355,70.9
싱가포르,72.15,72.8,71.73,65.505,66.975
대만,81.895,84.705,84.285,82.06,78.705
태국,77.515,80.095,72.69,69.655,72.33
말레이시아,64.24,67.34,66.16,65.75,64.05
호주,81.825,80.515,78.005,77.005,80.685
미국,85.44,86.595,86.53,81.795,80.52
캐나다,80.675,79.76,82.36,78.775,78.99
영국,84.465,83.685,81.615,79.17,78.2
독일,64.24,64.565,61.97,59.28,58.54
프랑스,64.91,69.39,67.92,71.355,67.49
러시아,80.42,79.42,78.705,71.895,82.4
중동,75.92,81.975,74.525,68.005,0
인도,53.145,58.13,57.9,56.575,53.88
전체,79.505,81.29,79.71,75.725,77.56
기타,66.89,66.26,64.735,62.315,63.71
필리핀,0,0,71.82,69.855,71.325
인도네시아,0,0,58.23,65.36,63.555
베트남,0,0,71.84,70.025,71.175
몽골,0,0,0,75.82,79.17
중동전체,0,0,0,0,71.04
중앙아시아,0,0,0,0,78.97
GCC,0,0,0,0,56.875
중동기타,0,0,0,0,57.675
