국가,2015,2016,2017,2018,2019
일본,66.505,77.94,87.785,84.505,86.265
중국,88.75,90.93,90.695,89.145,89.39
홍콩,85.19,86.43,86.53,83.945,88.715
싱가포르,82.25,84.965,83.78,77.76,84.46
대만,84.33,88.725,88.555,86.75,87.405
태국,86.85,89.775,85.14,82.165,88.145
말레이시아,76.895,79.675,78.46,77.54,83.19
호주,88.33,90.465,87.65,87.115,88.165
미국,90.195,92.59,92.485,87.41,90.785
캐나다,89.115,89.095,89.615,86.935,88.99
영국,90.11,89.81,88.54,84.845,87.64
독일,78.685,81.785,80.075,79.37,81.66
프랑스,81.895,88.875,84.605,87.31,89.74
러시아,81.97,81.865,82.64,82.615,87.5
중동,85.275,90.895,82.86,80.325,0
인도,72.97,82.425,77.64,77.65,80.89
전체,83.645,87.62,87.58,85.565,87.7
기타,80.52,83.02,82.15,81.455,84.935
필리핀,0,0,85.765,83.855,89.67
인도네시아,0,0,71.225,78.295,85.08
베트남,0,0,78.945,80.78,81.96
몽골,0,0,0,82.58,87.47
중동전체,0,0,0,0,83.92
중앙아시아,0,0,0,0,86.375
GCC,0,0,0,0,79.93
중동기타,0,0,0,0,78.705
