국가,2015,2016,2017,2018,2019
일본,93.61,96.45,95.02,92.965,93.38
중국,90.45,90.945,90.85,90.005,88.925
홍콩,92.585,94.7,92.935,92.44,92.315
싱가포르,94.575,96.675,96.06,96.04,94.65
대만,93.735,92.78,93.665,92.025,92.51
태국,90.275,92.39,92.165,88.62,92.685
말레이시아,88,88.645,91.04,88.22,88.55
호주,95.53,96.055,95.145,95.72,96.73
미국,96.18,97.13,97.565,96.455,96.775
캐나다,95.685,97.285,94.615,94.86,95.495
영국,95.46,96.025,93.345,94.875,92.535
독일,94.225,94.39,93.595,91.8,93.41
프랑스,91.815,92.515,95.135,92.52,94.485
러시아,92.495,91.91,93.11,92.975,96.925
중동,89.11,91.425,85.38,82.105,0
인도,75.67,82.78,79.36,80.4,81.405
전체,91.695,92.57,92.705,91.455,91.465
기타,90.83,90.96,93.295,90.005,89.955
필리핀,0,0,96.82,95.24,96.82
인도네시아,0,0,86.465,89.35,89.23
베트남,0,0,86.225,88.83,90.61
몽골,0,0,0,94.55,95.965
중동전체,0,0,0,0,85.05
중앙아시아,0,0,0,0,89.645
GCC,0,0,0,0,72.18
중동기타,0,0,0,0,80.615
