국가,2015,2016,2017,2018,2019
일본,80.535,77.31,85.4,82.57,84.925
중국,95.935,96.285,95.725,96.885,96.765
홍콩,88.665,89.53,91.58,93.87,93.65
싱가포르,91.235,91.38,93.18,93.865,93.985
대만,95.02,96.565,96.86,95.54,96.81
태국,94.875,90.46,91.8,90.135,88.68
말레이시아,94.9,93.8,94.155,93.455,92.92
호주,93.935,91.685,94.425,95.28,95.935
미국,95.285,94.35,97.24,96.13,96.73
캐나다,95.555,93.74,96.27,95.495,95.015
영국,94.305,93.215,94.005,97.385,93.115
독일,94.745,93.485,94.005,95.045,95.34
프랑스,93.865,89.21,93.095,97,96.785
러시아,98.16,96.495,96.795,96.705,97.3
중동,97.375,96.905,96.22,93.05,0
인도,97.24,93.795,98.065,97.085,97.905
전체,92.985,92.52,93.315,93,93.725
기타,95.65,93.855,94.04,95.32,94.145
필리핀,0,0,97.315,97.31,97.245
인도네시아,0,0,90.755,92.63,94.24
베트남,0,0,93.55,95.325,97.915
몽골,0,0,0,93.425,93.285
중동전체,0,0,0,0,94.975
중앙아시아,0,0,0,0,95.61
GCC,0,0,0,0,89.985
중동기타,0,0,0,0,96.625
