국가,2015,2016,2017,2018,2019
일본,78.945,83.29,89.605,87.485,86.495
중국,98.715,98.715,98.795,98.35,98.365
홍콩,96.3,96.33,96.925,95.82,96.37
싱가포르,97.055,98.075,95.74,94.555,95.48
대만,95.56,97.01,97.475,96.75,95.98
태국,96.465,97.2,96.89,94.71,96.92
말레이시아,97.79,97.185,96.295,95.435,96.645
호주,99.085,98.11,96.85,96.64,97.615
미국,98.455,98.795,98.59,98.04,98.62
캐나다,98.165,98.76,98.705,98.605,98.535
영국,98.67,98.2,97.675,97.4,98.86
독일,97.73,97.78,96.77,92.89,93.225
프랑스,98.895,97.61,98.765,98.375,97.57
러시아,98.76,98.115,98.8,98.345,98.44
중동,98.165,98.775,98.87,97.25,0
인도,98.49,99.08,98.805,97.74,97.93
전체,95.185,96.115,96.485,95.295,95.58
기타,97.84,98.23,97.91,95.86,98.015
필리핀,0,0,98.335,97.93,98.57
인도네시아,0,0,95.37,96.425,96.2
베트남,0,0,97.725,96.275,98.475
몽골,0,0,0,95.67,97.975
중동전체,0,0,0,0,98.505
중앙아시아,0,0,0,0,98.97
GCC,0,0,0,0,97.615
중동기타,0,0,0,0,97.79
