국가,재방문의사,만족도_치안,만족도_출입국절차,만족도_음식,만족도_여행경비,만족도_언어소통,만족도_숙박,만족도_쇼핑,만족도_대중교통,만족도_관광지매력도,만족도_관광안내서비스
일본,91.83,83.29,77.31,96.45,77.94,76.015,79.61,83.05,79.61,78.62,66.48
중국,89.845,98.715,96.285,90.945,90.93,86.27,95.06,97,95.06,93.94,94.415
홍콩,90.725,96.33,89.53,94.7,86.43,74.215,90.085,96.04,90.085,91.215,86.08
싱가포르,95.44,98.075,91.38,96.675,84.965,72.8,95.265,90.69,95.265,93.785,87.225
대만,88.03,97.01,96.565,92.78,88.725,84.705,94.33,96.965,94.33,96.01,93.61
태국,89.735,97.2,90.46,92.39,89.775,80.095,96.95,97.655,96.95,96.945,92.125
말레이시아,93.62,97.185,93.8,88.645,79.675,67.34,96.46,95.68,96.46,95.775,93.265
호주,86.905,98.11,91.685,96.055,90.465,80.515,97.04,73.575,97.04,85.165,74.58
미국,91.385,98.795,94.35,97.13,92.59,86.595,97.41,79.805,97.41,92.795,81.05
캐나다,86.68,98.76,93.74,97.285,89.095,79.76,97.385,82.015,97.385,91.71,80.785
영국,91.17,98.2,93.215,96.025,89.81,83.685,96.935,67.31,96.935,87.795,71.97
독일,90.655,97.78,93.485,94.39,81.785,64.565,97.43,67.36,97.43,82.09,69.98
프랑스,88.195,97.61,89.21,92.515,88.875,69.39,94.825,75.875,94.825,83.735,73.52
러시아,88.925,98.115,96.495,91.91,81.865,79.42,96.9,90.605,96.9,94.385,89.6
중동,93.875,98.775,96.905,91.425,90.895,81.975,98.205,95.125,98.205,96.335,91.07
인도,95.455,99.08,93.795,82.78,82.425,58.13,97.61,77.875,97.61,83.135,76.095
전체,90.49,96.115,92.52,92.57,87.62,81.29,92.98,91.605,92.98,91.015,87.04
기타,92.23,98.23,93.855,90.96,83.02,66.26,96.19,81.545,96.19,88.59,81.02
