구분1,구분2,2015,2016,2017,2018,2019
국가별,일본,826.9,813.9,757.1,791.07,758.9
국가별,중국,"2,319.00","2,059.50","2,108.00","1,887.43","1,632.61"
국가별,홍콩,"1,363.20","1,519.60","1,437.40","1,126.12","1,052.86"
국가별,싱가포르,"1,522.20","1,573.30","1,590.20","1,280.33","1,217.85"
국가별,대만,"1,313.60","1,244.30","1,301.70","1,102.77","1,034.77"
국가별,태국,"1,056.30","1,124.70","1,177.20","1,146.79",945.34
국가별,말레이시아,"1,104.50","1,032.60","1,139.70","1,035.93",946.7
국가별,호주,"1,177.00","1,149.90","1,409.60","1,048.72","1,128.24"
국가별,미국,"1,206.50","1,338.40","1,313.50","1,190.03","1,148.56"
국가별,캐나다,"1,034.00","1,020.60","1,147.70","1,006.56",897.41
국가별,영국,"1,130.60","1,151.90","1,363.80","1,158.68","1,132.77"
국가별,독일,"1,241.80","1,318.70","1,364.50","1,247.91","1,229.98"
국가별,프랑스,"1,468.30","1,054.90","1,475.60","1,172.54","1,279.26"
국가별,러시아,"1,384.90","1,783.30","1,727.40","1,348.67","1,120.18"
국가별,중동,"2,245.50","2,593.80","2,231.70","1,776.64",0
국가별,인도,"1,500.00","1,466.30","1,686.20","1,548.15","1,633.20"
국가별,전체,"1,712.50","1,625.30","1,481.60","1,342.39","1,239.16"
국가별,기타,"1,404.90","1,337.20","1,332.40","1,352.10","1,259.60"
국가별,필리핀,0,0,981.2,965.4,807.55
국가별,인도네시아,0,0,"1,202.40","1,126.54","1,233.20"
국가별,베트남,0,0,"1,213.50","1,204.40","1,275.60"
국가별,몽골,0,0,0,"2,069.64","1,615.98"
국가별,중동전체,0,0,0,0,"1,696.46"
국가별,중앙아시아,0,0,0,0,"1,581.73"
국가별,GCC,0,0,0,0,"2,558.77"
국가별,중동기타,0,0,0,0,"1,429.63"
